Scenario_Model,AUC_mean,AUC_std,Sensitivity,Specificity,F1,BalancedAcc,Class0_F1,Class1_F1
Clin+Rad_AdaptiveRegional_Top20__GradientBoosting,0.5083002645502646,0.23464179604618413,0.4878048780487805,0.6875,0.6060606060606061,0.5876524390243902,0.4583333333333333,0.6060606060606061
RadOnly_BCEFocalTversky_Top20__kNN_k5,0.5077380952380952,0.21371949000538829,0.4634146341463415,0.5625,0.5671641791044776,0.5129573170731707,0.3829787234042554,0.5671641791044776
RadOnly_BCEDice_Top50__MLP,0.5076058201058201,0.13629153615697612,0.7804878048780488,0.3125,0.761904761904762,0.5464939024390244,0.3333333333333333,0.761904761904762
RadOnly_Focal_Top20__RandomForest,0.5074404761904762,0.11436646315103038,0.9024390243902439,0.25,0.8222222222222222,0.5762195121951219,0.3333333333333333,0.8222222222222222
RadOnly_Tversky_Top10__kNN_k5,0.5073412698412698,0.1542518048502891,0.9024390243902439,0.125,0.8043478260869564,0.5137195121951219,0.18181818181818182,0.8043478260869564
RadOnly_Dice_Top10__LogisticRegression,0.5064153439153439,0.15577041050498547,0.2926829268292683,0.875,0.4363636363636364,0.5838414634146342,0.47457627118644063,0.4363636363636364
RadOnly_AdaptiveRegional_Top10__DecisionTree,0.5061507936507936,0.14246308084157197,0.7804878048780488,0.25,0.7529411764705882,0.5152439024390244,0.27586206896551724,0.7529411764705882
Clin+Rad_BCEDice_Top50__SVM_RBF,0.5059854497354497,0.05240754262032881,0.5121951219512195,0.625,0.6176470588235294,0.5685975609756098,0.43478260869565216,0.6176470588235294
RadOnly_Focal_Top10__SVM_RBF,0.5056878306878307,0.1359101075977012,0.17073170731707318,0.9375,0.28571428571428575,0.5541158536585366,0.46153846153846156,0.28571428571428575
Clin+Rad_Focal_Top50__kNN_k5,0.5055224867724868,0.10507891883300649,0.8780487804878049,0.1875,0.8,0.5327743902439024,0.25,0.8
Clin+Rad_AdaptiveRegional_Top50__DecisionTree,0.5051587301587303,0.1777686983934344,0.6341463414634146,0.375,0.6753246753246753,0.5045731707317074,0.3243243243243243,0.6753246753246753
RadOnly_BCEDice_Top20__DecisionTree,0.5047619047619047,0.1646782367003338,0.7317073170731707,0.3125,0.7317073170731707,0.5221036585365854,0.3125,0.7317073170731707
Clin+Rad_GDice_Top50__RandomForest,0.5045469576719577,0.23638820062568208,0.1951219512195122,0.9375,0.32,0.5663109756097561,0.46875,0.32
Clin+Rad_Dice_Top20__GaussianNB,0.5044146825396825,0.24274236786890785,0.5121951219512195,0.625,0.6176470588235294,0.5685975609756098,0.43478260869565216,0.6176470588235294
RadOnly_GDice_Top50__DecisionTree,0.5043650793650793,0.1306658722421745,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_BCEFocalTversky_Top10__GaussianNB,0.50380291005291,0.2440370887878882,0.2682926829268293,0.9375,0.4150943396226415,0.6028963414634146,0.49180327868852464,0.4150943396226415
RadOnly_Tversky_Top50__SVM_Linear,0.5034391534391535,0.21825893853567796,0.0975609756097561,1.0,0.17777777777777776,0.5487804878048781,0.463768115942029,0.17777777777777776
RadOnly_Focal_Top20__SVM_Linear,0.5028439153439154,0.11455163922583879,0.4634146341463415,0.6875,0.5846153846153846,0.5754573170731707,0.4489795918367347,0.5846153846153846
Clin+Rad_BCEFocalTversky_Top20__DecisionTree,0.5025793650793651,0.20811931561940047,0.6585365853658537,0.375,0.6923076923076923,0.5167682926829269,0.33333333333333326,0.6923076923076923
RadOnly_BCEFocalTversky_Top10__kNN_k5,0.5020998677248677,0.15243980531551468,0.9024390243902439,0.125,0.8043478260869564,0.5137195121951219,0.18181818181818182,0.8043478260869564
RadOnly_Focal_Top10__DecisionTree,0.5019841269841271,0.1511521948786351,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_Focal_Top20__DecisionTree,0.501984126984127,0.1391932605926259,0.7560975609756098,0.25,0.7380952380952381,0.5030487804878049,0.26666666666666666,0.7380952380952381
RadOnly_Focal_Top50__DecisionTree,0.5015873015873017,0.14133419926929927,0.7073170731707317,0.3125,0.7160493827160495,0.5099085365853658,0.30303030303030304,0.7160493827160495
RadOnly_BCEDice_Top50__DecisionTree,0.4992063492063493,0.14468952694949533,0.7073170731707317,0.3125,0.7160493827160495,0.5099085365853658,0.30303030303030304,0.7160493827160495
RadOnly_FocalTversky_Top50__GaussianNB,0.49831349206349207,0.2091922016617245,0.1951219512195122,0.875,0.3137254901960785,0.5350609756097561,0.44444444444444436,0.3137254901960785
RadOnly_Focal_Top50__GaussianNB,0.4967261904761905,0.15049756855374635,0.9024390243902439,0.1875,0.8131868131868132,0.5449695121951219,0.26086956521739124,0.8131868131868132
RadOnly_Tversky_Top10__LogisticRegression,0.49649470899470893,0.16905124156720125,0.4146341463414634,0.8125,0.5573770491803278,0.6135670731707317,0.49056603773584906,0.5573770491803278
Clin+Rad_Focal_Top10__GradientBoosting,0.49576719576719575,0.10585717769943968,0.6585365853658537,0.5,0.7105263157894737,0.5792682926829269,0.4210526315789474,0.7105263157894737
Clin+Rad_Focal_Top20__DecisionTree,0.4946428571428571,0.14726393111316666,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_GDice_Top20__RandomForest,0.4934193121693122,0.21366324976923673,0.34146341463414637,0.8125,0.48275862068965514,0.5769817073170732,0.46428571428571436,0.48275862068965514
Clin+Rad_GDice_Top20__DecisionTree,0.49325396825396817,0.16426055132806586,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_Dice_Top10__SVM_Linear,0.49289021164021163,0.12967138068058842,0.4634146341463415,0.6875,0.5846153846153846,0.5754573170731707,0.4489795918367347,0.5846153846153846
RadOnly_Dice_Top20__MLP,0.4927910052910052,0.11680321107682717,0.17073170731707318,0.9375,0.28571428571428575,0.5541158536585366,0.46153846153846156,0.28571428571428575
RadOnly_AdaptiveRegional_Top10__GaussianNB,0.49196428571428574,0.1955307564220501,0.9024390243902439,0.125,0.8043478260869564,0.5137195121951219,0.18181818181818182,0.8043478260869564
RadOnly_GDice_Top10__SVM_Linear,0.4909391534391535,0.17952878780267476,0.4634146341463415,0.6875,0.5846153846153846,0.5754573170731707,0.4489795918367347,0.5846153846153846
RadOnly_BCEFocalTversky_Top20__DecisionTree,0.4904761904761905,0.2144708195216866,0.7073170731707317,0.3125,0.7160493827160495,0.5099085365853658,0.30303030303030304,0.7160493827160495
RadOnly_Focal_Top10__ExtraTrees,0.48964947089947086,0.10375146107045065,0.8292682926829268,0.3125,0.7906976744186047,0.5708841463414633,0.35714285714285715,0.7906976744186047
RadOnly_BCEDice_Top50__RandomForest,0.48938492063492056,0.15056164273826972,0.8292682926829268,0.3125,0.7906976744186047,0.5708841463414633,0.35714285714285715,0.7906976744186047
RadOnly_Focal_Top20__LogisticRegression,0.48931878306878307,0.10863986599011122,0.3170731707317073,0.8125,0.45614035087719296,0.5647865853658537,0.45614035087719296,0.45614035087719296
RadOnly_AdaptiveRegional_Top50__SVM_Linear,0.48809523809523814,0.19564337210889254,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_AdaptiveRegional_Top50__GaussianNB,0.4872685185185185,0.17379311447589582,0.36585365853658536,0.75,0.4999999999999999,0.5579268292682926,0.44444444444444436,0.4999999999999999
RadOnly_GDice_Top20__RandomForest,0.4866071428571429,0.1792793507376324,0.9024390243902439,0.1875,0.8131868131868132,0.5449695121951219,0.26086956521739124,0.8131868131868132
Clin+Rad_BCEDice_Top10__DecisionTree,0.48630952380952375,0.2127317256546968,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_FocalTversky_Top10__LogisticRegression,0.4861441798941799,0.1481688294568724,0.14634146341463414,0.9375,0.25,0.541920731707317,0.45454545454545453,0.25
RadOnly_GDice_Top10__DecisionTree,0.48531746031746026,0.11088660709097899,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_Tversky_Top10__GaussianNB,0.48473875661375665,0.28319162278331905,0.6341463414634146,0.5625,0.7027027027027027,0.5983231707317074,0.45,0.7027027027027027
RadOnly_Dice_Top50__GaussianNB,0.48417658730158736,0.12990203012544885,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
Clin+Rad_GDice_Top20__GaussianNB,0.483912037037037,0.28970358251770717,0.975609756097561,0.125,0.8421052631578947,0.5503048780487805,0.21052631578947367,0.8421052631578947
RadOnly_Tversky_Top20__SVM_RBF,0.48376322751322753,0.14238007926900847,0.8292682926829268,0.25,0.7816091954022988,0.5396341463414633,0.2962962962962963,0.7816091954022988
RadOnly_BCEFocalTversky_Top20__LogisticRegression,0.48349867724867723,0.11538458050334731,0.2682926829268293,0.875,0.4074074074074075,0.5716463414634146,0.4666666666666667,0.4074074074074075
RadOnly_GDice_Top50__LogisticRegression,0.48346560846560854,0.11182999991777814,0.0975609756097561,1.0,0.17777777777777776,0.5487804878048781,0.463768115942029,0.17777777777777776
Clin+Rad_Focal_Top10__GaussianNB,0.4825562169312169,0.21349864282870265,0.4878048780487805,0.6875,0.6060606060606061,0.5876524390243902,0.4583333333333333,0.6060606060606061
Clin+Rad_BCEDice_Top10__GaussianNB,0.4817294973544974,0.2930865087944892,0.6829268292682927,0.5,0.7272727272727273,0.5914634146341464,0.4324324324324324,0.7272727272727273
RadOnly_Focal_Top20__GaussianNB,0.4814153439153439,0.15479078779003252,1.0,0.125,0.8541666666666666,0.5625,0.2222222222222222,0.8541666666666666
Clin+Rad_Dice_Top50__GaussianNB,0.48091931216931216,0.16182159578984992,0.8780487804878049,0.25,0.8089887640449439,0.5640243902439024,0.32,0.8089887640449439
RadOnly_GDice_Top20__GradientBoosting,0.48088624338624336,0.23644715463649818,0.8048780487804879,0.25,0.7674418604651163,0.5274390243902439,0.28571428571428575,0.7674418604651163
RadOnly_BCEDice_Top10__kNN_k5,0.4798611111111112,0.10532687216470446,0.7560975609756098,0.3125,0.746987951807229,0.5342987804878049,0.3225806451612903,0.746987951807229
Clin+Rad_Tversky_Top50__GaussianNB,0.47954695767195765,0.12982893937675088,0.926829268292683,0.1875,0.8260869565217392,0.5571646341463414,0.2727272727272727,0.8260869565217392
RadOnly_AdaptiveRegional_Top20__DecisionTree,0.47896825396825404,0.21356562578751906,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_BCEFocalTversky_Top50__GaussianNB,0.4788359788359789,0.16678367858533644,0.926829268292683,0.25,0.8351648351648352,0.5884146341463414,0.34782608695652173,0.8351648351648352
RadOnly_BCEFocalTversky_Top50__LogisticRegression,0.4779761904761905,0.10230555855702761,0.1951219512195122,0.9375,0.32,0.5663109756097561,0.46875,0.32
Clin+Rad_FocalTversky_Top20__GaussianNB,0.4774305555555555,0.26591419442424713,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
Clin+Rad_BCEDice_Top50__DecisionTree,0.47698412698412707,0.21478703849925726,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_Focal_Top20__GaussianNB,0.47584325396825394,0.18357541844187597,0.24390243902439024,0.875,0.37735849056603776,0.5594512195121951,0.459016393442623,0.37735849056603776
RadOnly_Tversky_Top20__GaussianNB,0.47400793650793654,0.24334522745032844,0.9512195121951219,0.1875,0.8387096774193549,0.569359756097561,0.2857142857142857,0.8387096774193549
RadOnly_BCEFocalTversky_Top20__GaussianNB,0.4718253968253968,0.19179910144127638,0.926829268292683,0.125,0.8172043010752689,0.5259146341463414,0.19047619047619047,0.8172043010752689
RadOnly_BCEFocalTversky_Top10__DecisionTree,0.47103174603174613,0.15400890275071838,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_BCEFocalTversky_Top10__SVM_RBF,0.46997354497354493,0.15799188982285467,1.0,0.0625,0.8453608247422679,0.53125,0.11764705882352941,0.8453608247422679
Clin+Rad_AdaptiveRegional_Top50__GaussianNB,0.4695271164021165,0.19894898038882233,0.43902439024390244,0.6875,0.5625,0.5632621951219512,0.44000000000000006,0.5625
RadOnly_GDice_Top10__SVM_RBF,0.46917989417989414,0.0925676459213184,1.0,0.0625,0.8453608247422679,0.53125,0.11764705882352941,0.8453608247422679
Clin+Rad_Tversky_Top20__GaussianNB,0.4686011904761904,0.23165753178752388,0.9512195121951219,0.1875,0.8387096774193549,0.569359756097561,0.2857142857142857,0.8387096774193549
Clin+Rad_Focal_Top50__GaussianNB,0.4685019841269841,0.20861646954388188,0.9024390243902439,0.1875,0.8131868131868132,0.5449695121951219,0.26086956521739124,0.8131868131868132
RadOnly_Focal_Top20__MLP,0.467228835978836,0.1516389014599817,0.6097560975609756,0.5,0.6756756756756757,0.5548780487804879,0.4,0.6756756756756757
RadOnly_GDice_Top10__GradientBoosting,0.46564153439153444,0.21993819651589874,0.07317073170731707,1.0,0.13636363636363635,0.5365853658536586,0.45714285714285713,0.13636363636363635
RadOnly_BCEDice_Top10__SVM_Linear,0.4652116402116403,0.13193580815379516,0.0975609756097561,1.0,0.17777777777777776,0.5487804878048781,0.463768115942029,0.17777777777777776
RadOnly_AdaptiveRegional_Top50__SVM_RBF,0.46517857142857144,0.11958065191712731,0.3170731707317073,0.8125,0.45614035087719296,0.5647865853658537,0.45614035087719296,0.45614035087719296
Clin+Rad_BCEDice_Top20__GaussianNB,0.4646660052910053,0.24889596713524356,0.6097560975609756,0.5,0.6756756756756757,0.5548780487804879,0.4,0.6756756756756757
RadOnly_FocalTversky_Top50__SVM_Linear,0.46342592592592596,0.06304460937240446,0.6341463414634146,0.5625,0.7027027027027027,0.5983231707317074,0.45,0.7027027027027027
RadOnly_Focal_Top20__ExtraTrees,0.4602347883597885,0.0766694226343266,0.8048780487804879,0.3125,0.7764705882352942,0.5586890243902439,0.3448275862068966,0.7764705882352942
Clin+Rad_AdaptiveRegional_Top20__GaussianNB,0.4600363756613756,0.21880144427816417,0.36585365853658536,0.75,0.4999999999999999,0.5579268292682926,0.44444444444444436,0.4999999999999999
RadOnly_Dice_Top50__SVM_Linear,0.4574735449735449,0.13929576331597662,0.0975609756097561,1.0,0.17777777777777776,0.5487804878048781,0.463768115942029,0.17777777777777776
RadOnly_GDice_Top20__SVM_RBF,0.45572089947089955,0.11061280061081588,0.24390243902439024,0.875,0.37735849056603776,0.5594512195121951,0.459016393442623,0.37735849056603776
RadOnly_BCEDice_Top20__MLP,0.4556216931216931,0.15857223184180222,0.5853658536585366,0.5,0.6575342465753423,0.5426829268292683,0.39024390243902435,0.6575342465753423
RadOnly_FocalTversky_Top20__GaussianNB,0.45486111111111105,0.30294019598871164,0.9024390243902439,0.1875,0.8131868131868132,0.5449695121951219,0.26086956521739124,0.8131868131868132
RadOnly_BCEDice_Top20__LogisticRegression,0.4530423280423281,0.1326713642129083,0.6585365853658537,0.4375,0.7012987012987012,0.5480182926829269,0.37837837837837834,0.7012987012987012
RadOnly_Dice_Top20__GaussianNB,0.45267857142857154,0.20708897082349584,0.7804878048780488,0.375,0.7710843373493976,0.5777439024390244,0.38709677419354843,0.7710843373493976
Clin+Rad_Focal_Top50__SVM_RBF,0.4508267195767196,0.11789935274043364,0.6341463414634146,0.4375,0.6842105263157895,0.5358231707317074,0.3684210526315789,0.6842105263157895
RadOnly_Dice_Top20__LogisticRegression,0.4503968253968254,0.16463233122554288,0.3170731707317073,0.8125,0.45614035087719296,0.5647865853658537,0.45614035087719296,0.45614035087719296
RadOnly_BCEFocalTversky_Top20__SVM_Linear,0.4481481481481482,0.0676876551203595,0.2682926829268293,0.8125,0.39999999999999997,0.5403963414634146,0.44067796610169485,0.39999999999999997
RadOnly_BCEFocalTversky_Top50__SVM_Linear,0.44715608465608464,0.06682918797659644,0.3902439024390244,0.75,0.5245901639344263,0.5701219512195121,0.4528301886792453,0.5245901639344263
RadOnly_Focal_Top10__GaussianNB,0.4462962962962963,0.1816939421514665,1.0,0.0625,0.8453608247422679,0.53125,0.11764705882352941,0.8453608247422679
RadOnly_GDice_Top50__kNN_k5,0.4460648148148148,0.19884461366626902,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_FocalTversky_Top50__GaussianNB,0.44436177248677244,0.12681309183369452,0.2682926829268293,0.8125,0.39999999999999997,0.5403963414634146,0.44067796610169485,0.39999999999999997
RadOnly_Tversky_Top10__XGBoost,0.44340277777777776,0.21848970404027035,0.8780487804878049,0.1875,0.8,0.5327743902439024,0.25,0.8
RadOnly_FocalTversky_Top20__SVM_RBF,0.44312169312169314,0.12113975866687034,0.7804878048780488,0.3125,0.761904761904762,0.5464939024390244,0.3333333333333333,0.761904761904762
RadOnly_GDice_Top20__LogisticRegression,0.44196428571428575,0.16290335040969522,0.9024390243902439,0.1875,0.8131868131868132,0.5449695121951219,0.26086956521739124,0.8131868131868132
RadOnly_Tversky_Top10__SVM_RBF,0.44100529100529096,0.14639600685580603,0.975609756097561,0.125,0.8421052631578947,0.5503048780487805,0.21052631578947367,0.8421052631578947
RadOnly_GDice_Top50__GaussianNB,0.44060846560846556,0.1482527207931988,0.9512195121951219,0.0625,0.8210526315789473,0.506859756097561,0.10526315789473684,0.8210526315789473
RadOnly_AdaptiveRegional_Top20__GaussianNB,0.4395171957671957,0.24206946424818224,0.12195121951219512,0.9375,0.21276595744680848,0.5297256097560976,0.44776119402985076,0.21276595744680848
RadOnly_FocalTversky_Top10__XGBoost,0.4388062169312169,0.06185684485269221,0.7073170731707317,0.375,0.725,0.5411585365853658,0.35294117647058826,0.725
Clin+Rad_BCEDice_Top20__DecisionTree,0.43730158730158736,0.21216098296070868,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_AdaptiveRegional_Top10__LogisticRegression,0.43697089947089945,0.0836480995787838,0.6829268292682927,0.4375,0.7179487179487181,0.5602134146341464,0.38888888888888884,0.7179487179487181
RadOnly_Tversky_Top10__GaussianNB,0.43449074074074073,0.2619278171804102,1.0,0.125,0.8541666666666666,0.5625,0.2222222222222222,0.8541666666666666
RadOnly_BCEDice_Top20__SVM_Linear,0.43125,0.10375845942010978,0.4146341463414634,0.6875,0.5396825396825397,0.5510670731707317,0.43137254901960786,0.5396825396825397
Clin+Rad_BCEFocalTversky_Top20__GaussianNB,0.43063822751322756,0.19523302339324264,0.3170731707317073,0.8125,0.45614035087719296,0.5647865853658537,0.45614035087719296,0.45614035087719296
RadOnly_GDice_Top50__XGBoost,0.4294146825396825,0.21641334706582635,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_Focal_Top10__RandomForest,0.42635582010582007,0.15191496612084301,0.975609756097561,0.1875,0.851063829787234,0.5815548780487805,0.3,0.851063829787234
RadOnly_BCEFocalTversky_Top10__LogisticRegression,0.42407407407407405,0.26684664708214884,0.14634146341463414,1.0,0.2553191489361702,0.573170731707317,0.47761194029850745,0.2553191489361702
Clin+Rad_GDice_Top50__GaussianNB,0.42263558201058204,0.11459743799520358,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_Focal_Top10__kNN_k5,0.41984126984126985,0.06296407450888478,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
RadOnly_Dice_Top10__GaussianNB,0.41967592592592595,0.2412783349387938,0.07317073170731707,1.0,0.13636363636363635,0.5365853658536586,0.45714285714285713,0.13636363636363635
RadOnly_BCEDice_Top50__GaussianNB,0.41855158730158737,0.18439266119382733,0.5853658536585366,0.4375,0.6486486486486487,0.5114329268292683,0.35000000000000003,0.6486486486486487
RadOnly_GDice_Top20__GaussianNB,0.4127314814814815,0.2294839741155302,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_BCEDice_Top10__GaussianNB,0.40509259259259267,0.24366106235075496,0.9024390243902439,0.125,0.8043478260869564,0.5137195121951219,0.18181818181818182,0.8043478260869564
RadOnly_Focal_Top20__GradientBoosting,0.40476190476190477,0.10067171727254971,0.926829268292683,0.1875,0.8260869565217392,0.5571646341463414,0.2727272727272727,0.8260869565217392
RadOnly_Focal_Top50__kNN_k5,0.40125661375661376,0.05820466559286984,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_BCEDice_Top50__GaussianNB,0.3996527777777778,0.17044473643680627,0.2926829268292683,0.75,0.4210526315789473,0.5213414634146342,0.4210526315789473,0.4210526315789473
RadOnly_Dice_Top20__XGBoost,0.3921296296296296,0.2516986189620038,0.9024390243902439,0.25,0.8222222222222222,0.5762195121951219,0.3333333333333333,0.8222222222222222
RadOnly_Focal_Top50__SVM_Linear,0.39189814814814816,0.09962743526428261,0.024390243902439025,1.0,0.047619047619047616,0.5121951219512195,0.4444444444444445,0.047619047619047616
RadOnly_BCEDice_Top20__GaussianNB,0.3912037037037038,0.2238846000263166,1.0,0.0625,0.8453608247422679,0.53125,0.11764705882352941,0.8453608247422679
RadOnly_BCEFocalTversky_Top10__XGBoost,0.38923611111111106,0.25310666181095753,0.024390243902439025,1.0,0.047619047619047616,0.5121951219512195,0.4444444444444445,0.047619047619047616
RadOnly_FocalTversky_Top20__XGBoost,0.38657407407407407,0.15443822707087648,0.8536585365853658,0.1875,0.7865168539325843,0.5205792682926829,0.24000000000000005,0.7865168539325843
RadOnly_GDice_Top10__XGBoost,0.3864252645502646,0.20268167379514665,0.926829268292683,0.125,0.8172043010752689,0.5259146341463414,0.19047619047619047,0.8172043010752689
RadOnly_BCEFocalTversky_Top20__XGBoost,0.3827546296296297,0.24322624077381166,0.926829268292683,0.125,0.8172043010752689,0.5259146341463414,0.19047619047619047,0.8172043010752689
RadOnly_FocalTversky_Top10__GaussianNB,0.3805555555555556,0.2154524381073924,0.04878048780487805,1.0,0.09302325581395349,0.524390243902439,0.45070422535211263,0.09302325581395349
RadOnly_FocalTversky_Top50__XGBoost,0.37847222222222227,0.10087388226620797,0.7073170731707317,0.375,0.725,0.5411585365853658,0.35294117647058826,0.725
RadOnly_BCEFocalTversky_Top50__XGBoost,0.3781084656084656,0.16095274838288456,0.7804878048780488,0.25,0.7529411764705882,0.5152439024390244,0.27586206896551724,0.7529411764705882
RadOnly_GDice_Top10__GaussianNB,0.3776785714285714,0.14839877173432053,1.0,0.0625,0.8453608247422679,0.53125,0.11764705882352941,0.8453608247422679
RadOnly_Focal_Top10__LogisticRegression,0.3770833333333333,0.07555095982755082,0.21951219512195122,0.875,0.34615384615384615,0.5472560975609756,0.4516129032258065,0.34615384615384615
RadOnly_GDice_Top10__LogisticRegression,0.3687169312169313,0.22315426392700713,0.8048780487804879,0.3125,0.7764705882352942,0.5586890243902439,0.3448275862068966,0.7764705882352942
RadOnly_Tversky_Top20__XGBoost,0.3650462962962963,0.12398334853239729,0.07317073170731707,1.0,0.13636363636363635,0.5365853658536586,0.45714285714285713,0.13636363636363635
RadOnly_BCEFocalTversky_Top10__GaussianNB,0.36412037037037037,0.20161439056489303,0.0975609756097561,1.0,0.17777777777777776,0.5487804878048781,0.463768115942029,0.17777777777777776
RadOnly_GDice_Top20__XGBoost,0.3622850529100529,0.1643648958712869,0.9512195121951219,0.1875,0.8387096774193549,0.569359756097561,0.2857142857142857,0.8387096774193549
RadOnly_Tversky_Top50__XGBoost,0.35486111111111107,0.1659184594467571,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_Dice_Top50__XGBoost,0.32533068783068786,0.21493695539803853,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_Dice_Top10__XGBoost,0.3251157407407407,0.1744195682408438,1.0,0.0625,0.8453608247422679,0.53125,0.11764705882352941,0.8453608247422679
RadOnly_Focal_Top20__XGBoost,0.3085648148148148,0.2056092480759945,0.9024390243902439,0.1875,0.8131868131868132,0.5449695121951219,0.26086956521739124,0.8131868131868132
RadOnly_Focal_Top50__XGBoost,0.3071428571428571,0.1767116558754612,0.9512195121951219,0.125,0.8297872340425531,0.538109756097561,0.2,0.8297872340425531
RadOnly_BCEDice_Top50__SVM_Linear,0.29890873015873015,0.17127498539577518,0.024390243902439025,1.0,0.047619047619047616,0.5121951219512195,0.4444444444444445,0.047619047619047616
RadOnly_Focal_Top10__XGBoost,0.2599537037037037,0.17450019259405852,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
